D³ugoœæ;G³êbokoœæ;Wysokoœæ;;Cena katalogowa 2022;Cena katalogowa 11.2021;Ró¿nica 11.2021-12.2021;;
400;600;0;3100.046;914;802;14;3100;
500;600;0;3100.056;971;844;15;3100;
600;600;0;3100.066;1028;886;16;3100;
700;600;0;3100.076;1084;928;17;3100;
800;600;0;3100.086;1141;970;18;3100;
900;600;0;3100.096;1197;1012;18;3100;
1000;600;0;3100.106;1254;1055;19;3100;
1100;600;0;3100.116;1311;1097;20;3100;
1200;600;0;3100.126;1367;1139;20;3100;
1300;600;0;3100.136;1591;1334;19;3100;
1400;600;0;3100.146;1647;1376;20;3100;
1500;600;0;3100.156;1704;1418;20;3100;
1600;600;0;3100.166;1760;1460;21;3100;
1700;600;0;3100.176;1817;1503;21;3100;
1800;600;0;3100.186;1874;1545;21;3100;
1900;600;0;3100.196;1930;1587;22;3100;
2000;600;0;3100.206;1987;1629;22;3100;
2100;600;0;3100.216;2211;1825;21;3100;
2200;600;0;3100.226;2268;1867;21;3100;
2300;600;0;3100.236;2324;1909;22;3100;
2400;600;0;3100.246;2381;1951;22;3100;
2500;600;0;3100.256;2438;1993;22;3100;
2600;600;0;3100.266;2494;2035;23;3100;
2700;600;0;3100.276;2551;2077;23;3100;
2800;600;0;3100.286;2608;2120;23;3100;
400;700;0;3100.047;977;855;14;3100;
500;700;0;3100.057;1038;900;15;3100;
600;700;0;3100.067;1098;945;16;3100;
700;700;0;3100.077;1159;990;17;3100;
800;700;0;3100.087;1220;1036;18;3100;
900;700;0;3100.097;1280;1081;18;3100;
1000;700;0;3100.107;1341;1126;19;3100;
1100;700;0;3100.117;1402;1171;20;3100;
1200;700;0;3100.127;1462;1216;20;3100;
1300;700;0;3100.137;1712;1434;19;3100;
1400;700;0;3100.147;1772;1479;20;3100;
1500;700;0;3100.157;1834;1525;20;3100;
1600;700;0;3100.167;1894;1570;21;3100;
1700;700;0;3100.177;1955;1615;21;3100;
1800;700;0;3100.187;2016;1660;21;3100;
1900;700;0;3100.197;2076;1705;22;3100;
2000;700;0;3100.207;2137;1750;22;3100;
2100;700;0;3100.217;2385;1968;21;3100;
2200;700;0;3100.227;2446;2013;22;3100;
2300;700;0;3100.237;2507;2058;22;3100;
2400;700;0;3100.247;2568;2103;22;3100;
2500;700;0;3100.257;2629;2149;22;3100;
2600;700;0;3100.267;2689;2194;23;3100;
2700;700;0;3100.277;2750;2239;23;3100;
2800;700;0;3100.287;2810;2284;23;3100;
400;600;850;3101.046;1147;964;19;3101;
500;600;850;3101.056;1211;1014;19;3101;
600;600;850;3101.066;1276;1065;20;3101;
700;600;850;3101.076;1340;1115;20;3101;
800;600;850;3101.086;1405;1166;21;3101;
900;600;850;3101.096;1469;1216;21;3101;
1000;600;850;3101.106;1534;1266;21;3101;
1100;600;850;3101.116;1598;1317;21;3101;
1200;600;850;3101.126;1662;1367;22;3101;
1300;600;850;3101.136;1727;1417;22;3101;
1400;600;850;3101.146;1791;1468;22;3101;
1500;600;850;3101.156;1856;1518;22;3101;
1600;600;850;3101.166;1920;1569;22;3101;
1700;600;850;3101.176;1985;1619;23;3101;
1800;600;850;3101.186;2050;1669;23;3101;
1900;600;850;3101.196;2114;1720;23;3101;
2000;600;850;3101.206;2179;1770;23;3101;
2100;600;850;3101.216;2481;2033;22;3101;
2200;600;850;3101.226;2546;2083;22;3101;
2300;600;850;3101.236;2610;2134;22;3101;
2400;600;850;3101.246;2675;2184;22;3101;
2500;600;850;3101.256;2739;2235;23;3101;
2600;600;850;3101.266;2804;2285;23;3101;
