Długość,Głębokość,Wysokość,Typ katalogowy,Katalog,Typ,Cena katalogowa 2022,id,
400,600,370,A3100.046,A,3100,818,A3100,
500,600,370,A3100.056,A,3100,872,A3100,
600,600,370,A3100.066,A,3100,925,A3100,
700,600,370,A3100.076,A,3100,979,A3100,
800,600,370,A3100.086,A,3100,1033,A3100,
900,600,370,A3100.096,A,3100,1086,A3100,
1000,600,370,A3100.106,A,3100,1140,A3100,
1100,600,370,A3100.116,A,3100,1194,A3100,
1200,600,370,A3100.126,A,3100,1247,A3100,
1300,600,370,A3100.136,A,3100,1463,A3100,
1400,600,370,A3100.146,A,3100,1517,A3100,
1500,600,370,A3100.156,A,3100,1566,A3100,
1600,600,370,A3100.166,A,3100,1624,A3100,
1700,600,370,A3100.176,A,3100,1678,A3100,
1800,600,370,A3100.186,A,3100,1731,A3100,
1900,600,370,A3100.196,A,3100,1785,A3100,
2000,600,370,A3100.206,A,3100,1839,A3100,
2100,600,370,A3100.216,A,3100,2055,A3100,
2200,600,370,A3100.226,A,3100,2109,A3100,
2300,600,370,A3100.236,A,3100,2163,A3100,
2400,600,370,A3100.246,A,3100,2216,A3100,
2500,600,370,A3100.256,A,3100,2270,A3100,
2600,600,370,A3100.266,A,3100,2324,A3100,
2700,600,370,A3100.276,A,3100,2377,A3100,
2800,600,370,A3100.286,A,3100,2431,A3100,
400,700,470,A3100.047,A,3100,879,A3100,
500,700,470,A3100.057,A,3100,937,A3100,
600,700,470,A3100.067,A,3100,994,A3100,
700,700,470,A3100.077,A,3100,1052,A3100,
800,700,470,A3100.087,A,3100,1109,A3100,
900,700,470,A3100.097,A,3100,1167,A3100,
1000,700,470,A3100.107,A,3100,1224,A3100,
1100,700,470,A3100.117,A,3100,1282,A3100,
1200,700,470,A3100.127,A,3100,1340,A3100,
1300,700,470,A3100.137,A,3100,1581,A3100,
1400,700,470,A3100.147,A,3100,1638,A3100,
1500,700,470,A3100.157,A,3100,1696,A3100,
1600,700,470,A3100.167,A,3100,1753,A3100,
1700,700,470,A3100.177,A,3100,1811,A3100,
1800,700,470,A3100.187,A,3100,1868,A3100,
1900,700,470,A3100.197,A,3100,1926,A3100,
2000,700,470,A3100.207,A,3100,1983,A3100,
2100,700,470,A3100.217,A,3100,2224,A3100,
2200,700,470,A3100.227,A,3100,2282,A3100,
2300,700,470,A3100.237,A,3100,2339,A3100,
2400,700,470,A3100.247,A,3100,2397,A3100,
2500,700,470,A3100.257,A,3100,2454,A3100,
2600,700,470,A3100.267,A,3100,2512,A3100,
2700,700,470,A3100.277,A,3100,2569,A3100,
2800,700,470,A3100.287,A,3100,2627,A3100,
400,600,850,A3101.046,A,3101,985,A3101,
500,600,850,A3101.056,A,3101,1047,A3101,
600,600,850,A3101.066,A,3101,1108,A3101,
700,600,850,A3101.076,A,3101,1170,A3101,
800,600,850,A3101.086,A,3101,1232,A3101,
900,600,850,A3101.096,A,3101,1294,A3101,
1000,600,850,A3101.106,A,3101,1356,A3101,
1100,600,850,A3101.116,A,3101,1417,A3101,
1200,600,850,A3101.126,A,3101,1479,A3101,
1300,600,850,A3101.136,A,3101,1541,A3101,
1400,600,850,A3101.146,A,3101,1613,A3101,
1500,600,850,A3101.156,A,3101,1675,A3101,
1600,600,850,A3101.166,A,3101,1737,A3101,
1700,600,850,A3101.176,A,3101,1798,A3101,
1800,600,850,A3101.186,A,3101,1860,A3101,
1900,600,850,A3101.196,A,3101,1922,A3101,
2000,600,850,A3101.206,A,3101,1984,A3101,
2100,600,850,A3101.216,A,3101,2262,A3101,
2200,600,850,A3101.226,A,3101,2324,A3101,
2300,600,850,A3101.236,A,3101,2386,A3101,
2400,600,850,A3101.246,A,3101,2447,A3101,
2500,600,850,A3101.256,A,3101,2509,A3101,
2600,600,850,A3101.266,A,3101,2592,A3101,
2700,600,850,A3101.276,A,3101,2654,A3101,
2800,600,850,A3101.286,A,3101,2715,A3101,
400,700,850,A3101.047,A,3101,1026,A3101,
500,700,850,A3101.057,A,3101,1092,A3101,
600,700,850,A3101.067,A,3101,1158,A3101,
700,700,850,A3101.077,A,3101,1223,A3101,
800,700,850,A3101.087,A,3101,1289,A3101,
900,700,850,A3101.097,A,3101,1355,A3101,
1000,700,850,A3101.107,A,3101,1420,A3101,
1100,700,850,A3101.117,A,3101,1486,A3101,
1200,700,850,A3101.127,A,3101,1551,A3101,
1300,700,850,A3101.137,A,3101,1617,A3101,
1400,700,850,A3101.147,A,3101,1697,A3101,
1500,700,850,A3101.157,A,3101,1762,A3101,
1600,700,850,A3101.167,A,3101,1828,A3101,
1700,700,850,A3101.177,A,3101,1893,A3101,
1800,700,850,A3101.187,A,3101,1959,A3101,
1900,700,850,A3101.197,A,3101,2024,A3101,
2000,700,850,A3101.207,A,3101,2090,A3101,
2100,700,850,A3101.217,A,3101,2381,A3101,
2200,700,850,A3101.227,A,3101,2446,A3101,
2300,700,850,A3101.237,A,3101,2512,A3101,
2400,700,850,A3101.247,A,3101,2578,A3101,
2500,700,850,A3101.257,A,3101,2644,A3101,
2600,700,850,A3101.267,A,3101,2736,A3101,
2700,700,850,A3101.277,A,3101,2802,A3101,
2800,700,850,A3101.287,A,3101,2867,A3101,
400,600,850,A3105.046,A,3105,1131,A3105,
500,600,850,A3105.056,A,3105,1213,A3105,
600,600,850,A3105.066,A,3105,1296,A3105,
700,600,850,A3105.076,A,3105,1379,A3105,
800,600,850,A3105.086,A,3105,1462,A3105,
900,600,850,A3105.096,A,3105,1544,A3105,
1000,600,850,A3105.106,A,3105,1627,A3105,
1100,600,850,A3105.116,A,3105,1710,A3105,
1200,600,850,A3105.126,A,3105,1793,A3105,
1300,600,850,A3105.136,A,3105,1876,A3105,
1400,600,850,A3105.146,A,3105,1969,A3105,
1500,600,850,A3105.156,A,3105,2052,A3105,
1600,600,850,A3105.166,A,3105,2135,A3105,
1700,600,850,A3105.176,A,3105,2217,A3105,
1800,600,850,A3105.186,A,3105,2300,A3105,
1900,600,850,A3105.196,A,3105,2383,A3105,
2000,600,850,A3105.206,A,3105,2466,A3105,
2100,600,850,A3105.216,A,3105,2744,A3105,
2200,600,850,A3105.226,A,3105,2827,A3105,
2300,600,850,A3105.236,A,3105,2910,A3105,
2400,600,850,A3105.246,A,3105,2993,A3105,
2500,600,850,A3105.256,A,3105,3076,A3105,
2600,600,850,A3105.266,A,3105,3180,A3105,
2700,600,850,A3105.276,A,3105,3263,A3105,
2800,600,850,A3105.286,A,3105,3346,A3105,
400,700,850,A3105.047,A,3105,1180,A3105,
500,700,850,A3105.057,A,3105,1270,A3105,
600,700,850,A3105.067,A,3105,1361,A3105,
700,700,850,A3105.077,A,3105,1451,A3105,
800,700,850,A3105.087,A,3105,1542,A3105,
900,700,850,A3105.097,A,3105,1633,A3105,
1000,700,850,A3105.107,A,3105,1723,A3105,
1100,700,850,A3105.117,A,3105,1814,A3105,
1200,700,850,A3105.127,A,3105,1904,A3105,
1300,700,850,A3105.137,A,3105,1995,A3105,
1400,700,850,A3105.147,A,3105,2099,A3105,
1500,700,850,A3105.157,A,3105,2190,A3105,
1600,700,850,A3105.167,A,3105,2280,A3105,
1700,700,850,A3105.177,A,3105,2371,A3105,
1800,700,850,A3105.187,A,3105,2462,A3105,
1900,700,850,A3105.197,A,3105,2552,A3105,
2000,700,850,A3105.207,A,3105,2642,A3105,
2100,700,850,A3105.217,A,3105,2931,A3105,
2200,700,850,A3105.227,A,3105,3022,A3105,
2300,700,850,A3105.237,A,3105,3113,A3105,
2400,700,850,A3105.247,A,3105,3203,A3105,
2500,700,850,A3105.257,A,3105,3293,A3105,
2600,700,850,A3105.267,A,3105,3412,A3105,
2700,700,850,A3105.277,A,3105,3502,A3105,
2800,700,850,A3105.287,A,3105,3593,A3105,
400,600,850,A3109.046,A,3109,1320,A3109,
500,600,850,A3109.056,A,3109,1402,A3109,
600,600,850,A3109.066,A,3109,1484,A3109,
700,600,850,A3109.076,A,3109,1566,A3109,
800,600,850,A3109.086,A,3109,1649,A3109,
900,600,850,A3109.096,A,3109,1731,A3109,
1000,600,850,A3109.106,A,3109,1813,A3109,
1100,600,850,A3109.116,A,3109,1896,A3109,
1200,600,850,A3109.126,A,3109,1978,A3109,
1300,600,850,A3109.136,A,3109,2060,A3109,
1400,600,850,A3109.146,A,3109,2153,A3109,
1500,600,850,A3109.156,A,3109,2235,A3109,
1600,600,850,A3109.166,A,3109,2317,A3109,
1700,600,850,A3109.176,A,3109,2400,A3109,
1800,600,850,A3109.186,A,3109,2482,A3109,
1900,600,850,A3109.196,A,3109,2564,A3109,
2000,600,850,A3109.206,A,3109,2647,A3109,
2100,600,850,A3109.216,A,3109,2916,A3109,
2200,600,850,A3109.226,A,3109,2998,A3109,
2300,600,850,A3109.236,A,3109,3081,A3109,
2400,600,850,A3109.246,A,3109,3163,A3109,
2500,600,850,A3109.256,A,3109,3245,A3109,
2600,600,850,A3109.266,A,3109,3349,A3109,
2700,600,850,A3109.276,A,3109,3431,A3109,
2800,600,850,A3109.286,A,3109,3513,A3109,
400,700,850,A3109.047,A,3109,1359,A3109,
500,700,850,A3109.057,A,3109,1448,A3109,
600,700,850,A3109.067,A,3109,1537,A3109,
700,700,850,A3109.077,A,3109,1627,A3109,
800,700,850,A3109.087,A,3109,1716,A3109,
900,700,850,A3109.097,A,3109,1805,A3109,
1000,700,850,A3109.107,A,3109,1895,A3109,
1100,700,850,A3109.117,A,3109,1984,A3109,
1200,700,850,A3109.127,A,3109,2073,A3109,
1300,700,850,A3109.137,A,3109,2162,A3109,
1400,700,850,A3109.147,A,3109,2265,A3109,
1500,700,850,A3109.157,A,3109,2355,A3109,
1600,700,850,A3109.167,A,3109,2444,A3109,
1700,700,850,A3109.177,A,3109,2533,A3109,
1800,700,850,A3109.187,A,3109,2623,A3109,
1900,700,850,A3109.197,A,3109,2712,A3109,
2000,700,850,A3109.207,A,3109,2801,A3109,
2100,700,850,A3109.217,A,3109,3080,A3109,
2200,700,850,A3109.227,A,3109,3169,A3109,
2300,700,850,A3109.237,A,3109,3259,A3109,
2400,700,850,A3109.247,A,3109,3348,A3109,
2500,700,850,A3109.257,A,3109,3437,A3109,
2600,700,850,A3109.267,A,3109,3554,A3109,
2700,700,850,A3109.277,A,3109,3643,A3109,
2800,700,850,A3109.287,A,3109,3732,A3109,
400,600,850,A3103.046,A,3103,1457,A3103,
500,600,850,A3103.056,A,3103,1525,A3103,
600,600,850,A3103.066,A,3103,1593,A3103,
700,600,850,A3103.076,A,3103,1661,A3103,
800,600,850,A3103.086,A,3103,1729,A3103,
900,600,850,A3103.096,A,3103,1796,A3103,
1000,600,850,A3103.106,A,3103,1864,A3103,
1100,600,850,A3103.116,A,3103,1932,A3103,
1200,600,850,A3103.126,A,3103,2000,A3103,
1300,600,850,A3103.136,A,3103,2068,A3103,
1400,600,850,A3103.146,A,3103,2149,A3103,
1500,600,850,A3103.156,A,3103,2217,A3103,
1600,600,850,A3103.166,A,3103,2285,A3103,
1700,600,850,A3103.176,A,3103,2353,A3103,
1800,600,850,A3103.186,A,3103,2421,A3103,
1900,600,850,A3103.196,A,3103,2488,A3103,
2000,600,850,A3103.206,A,3103,2556,A3103,
400,700,850,A3103.047,A,3103,1503,A3103,
500,700,850,A3103.057,A,3103,1575,A3103,
600,700,850,A3103.067,A,3103,1647,A3103,
700,700,850,A3103.077,A,3103,1720,A3103,
800,700,850,A3103.087,A,3103,1791,A3103,
900,700,850,A3103.097,A,3103,1863,A3103,
1000,700,850,A3103.107,A,3103,1936,A3103,
1100,700,850,A3103.117,A,3103,2007,A3103,
1200,700,850,A3103.127,A,3103,2080,A3103,
1300,700,850,A3103.137,A,3103,2152,A3103,
1400,700,850,A3103.147,A,3103,2240,A3103,
1500,700,850,A3103.157,A,3103,2313,A3103,
1600,700,850,A3103.167,A,3103,2385,A3103,
1700,700,850,A3103.177,A,3103,2457,A3103,
1800,700,850,A3103.187,A,3103,2529,A3103,
1900,700,850,A3103.197,A,3103,2601,A3103,
2000,700,850,A3103.207,A,3103,2673,A3103,
400,600,850,A3107.046,A,3107,1632,A3107,
500,600,850,A3107.056,A,3107,1722,A3107,
600,600,850,A3107.066,A,3107,1811,A3107,
700,600,850,A3107.076,A,3107,1901,A3107,
800,600,850,A3107.086,A,3107,1990,A3107,
900,600,850,A3107.096,A,3107,2079,A3107,
1000,600,850,A3107.106,A,3107,2168,A3107,
1100,600,850,A3107.116,A,3107,2258,A3107,
1200,600,850,A3107.126,A,3107,2347,A3107,
1300,600,850,A3107.136,A,3107,2437,A3107,
1400,600,850,A3107.146,A,3107,2539,A3107,
1500,600,850,A3107.156,A,3107,2629,A3107,
1600,600,850,A3107.166,A,3107,2718,A3107,
1700,600,850,A3107.176,A,3107,2808,A3107,
1800,600,850,A3107.186,A,3107,2897,A3107,
1900,600,850,A3107.196,A,3107,2986,A3107,
2000,600,850,A3107.206,A,3107,3075,A3107,
400,700,850,A3107.047,A,3107,1685,A3107,
500,700,850,A3107.057,A,3107,1782,A3107,
600,700,850,A3107.067,A,3107,1880,A3107,
700,700,850,A3107.077,A,3107,1978,A3107,
800,700,850,A3107.087,A,3107,2076,A3107,
900,700,850,A3107.097,A,3107,2173,A3107,
1000,700,850,A3107.107,A,3107,2271,A3107,
1100,700,850,A3107.117,A,3107,2368,A3107,
1200,700,850,A3107.127,A,3107,2466,A3107,
1300,700,850,A3107.137,A,3107,2564,A3107,
1400,700,850,A3107.147,A,3107,2678,A3107,
1500,700,850,A3107.157,A,3107,2776,A3107,
1600,700,850,A3107.167,A,3107,2874,A3107,
1700,700,850,A3107.177,A,3107,2971,A3107,
1800,700,850,A3107.187,A,3107,3069,A3107,
1900,700,850,A3107.197,A,3107,3166,A3107,
2000,700,850,A3107.207,A,3107,3264,A3107,
1000,600,850,A3110.106,A,3110,3340,A3110,
1100,600,850,A3110.116,A,3110,3406,A3110,
1200,600,850,A3110.126,A,3110,3471,A3110,
1300,600,850,A3110.136,A,3110,3536,A3110,
1400,600,850,A3110.146,A,3110,3602,A3110,
1500,600,850,A3110.156,A,3110,3667,A3110,
1600,600,850,A3110.166,A,3110,3733,A3110,
1700,600,850,A3110.176,A,3110,3798,A3110,
1800,600,850,A3110.186,A,3110,3874,A3110,
1900,600,850,A3110.196,A,3110,3940,A3110,
2000,600,850,A3110.206,A,3110,4005,A3110,
2100,600,850,A3110.216,A,3110,4071,A3110,
2200,600,850,A3110.226,A,3110,4136,A3110,
2300,600,850,A3110.236,A,3110,4202,A3110,
2400,600,850,A3110.246,A,3110,4267,A3110,
1000,700,850,A3110.107,A,3110,3581,A3110,
1100,700,850,A3110.117,A,3110,3651,A3110,
1200,700,850,A3110.127,A,3110,3721,A3110,
1300,700,850,A3110.137,A,3110,3790,A3110,
1400,700,850,A3110.147,A,3110,3860,A3110,
1500,700,850,A3110.157,A,3110,3929,A3110,
1600,700,850,A3110.167,A,3110,3999,A3110,
1700,700,850,A3110.177,A,3110,4068,A3110,
1800,700,850,A3110.187,A,3110,4152,A3110,
1900,700,850,A3110.197,A,3110,4222,A3110,
2000,700,850,A3110.207,A,3110,4291,A3110,
2100,700,850,A3110.217,A,3110,4361,A3110,
2200,700,850,A3110.227,A,3110,4430,A3110,
2300,700,850,A3110.237,A,3110,4500,A3110,
2400,700,850,A3110.247,A,3110,4570,A3110,
1000,600,850,A3118.106,A,3118,3527,A3118,
1100,600,850,A3118.116,A,3118,3614,A3118,
1200,600,850,A3118.126,A,3118,3700,A3118,
1300,600,850,A3118.136,A,3118,3786,A3118,
1400,600,850,A3118.146,A,3118,3872,A3118,
1500,600,850,A3118.156,A,3118,3958,A3118,
1600,600,850,A3118.166,A,3118,4045,A3118,
1700,600,850,A3118.176,A,3118,4131,A3118,
1800,600,850,A3118.186,A,3118,4229,A3118,
1900,600,850,A3118.196,A,3118,4315,A3118,
2000,600,850,A3118.206,A,3118,4402,A3118,
2100,600,850,A3118.216,A,3118,4488,A3118,
2200,600,850,A3118.226,A,3118,4574,A3118,
2300,600,850,A3118.236,A,3118,4660,A3118,
2400,600,850,A3118.246,A,3118,4746,A3118,
1000,700,850,A3118.107,A,3118,3785,A3118,
1100,700,850,A3118.117,A,3118,3879,A3118,
1200,700,850,A3118.127,A,3118,3973,A3118,
1300,700,850,A3118.137,A,3118,4068,A3118,
1400,700,850,A3118.147,A,3118,4162,A3118,
1500,700,850,A3118.157,A,3118,4257,A3118,
1600,700,850,A3118.167,A,3118,4351,A3118,
1700,700,850,A3118.177,A,3118,4446,A3118,
1800,700,850,A3118.187,A,3118,4554,A3118,
1900,700,850,A3118.197,A,3118,4649,A3118,
2000,700,850,A3118.207,A,3118,4743,A3118,
